time,jolt
1683344497.220372,1057468.0
1683344497.26139,0.0
1683344497.290669,36.0
1683344497.348508,288.0000000000004
1683344497.379613,72.0000000000001
1683344497.419564,288.0000000000004
1683344497.4483042,72.0000000000001
1683344497.487044,0.0
1683344497.5066528,0.0
1683344497.5440419,432.00000000000273
1683344497.563406,108.00000000000068
1683344497.6060631,0.0
1683344497.646322,0.0
1683344497.675541,108.00000000000068
1683344497.721729,0.0
1683344497.779897,0.0
1683344497.8162858,0.0
1683344497.855795,0.0
1683344497.896395,0.0
1683344497.913716,107.99999999999947
1683344497.964415,0.0
1683344498.00309,0.0
1683344498.034453,107.99999999999947
1683344498.089281,0.0
1683344498.130125,107.99999999999986
1683344498.180406,0.0
1683344498.199523,107.99999999999962
1683344498.243215,107.99999999999962
1683344498.2621708,431.99999999999847
1683344498.297083,971.9999999999966
1683344498.31725,431.99999999999847
1683344498.3564749,0.0
1683344498.4030259,0.0
1683344498.432283,81.00000000000024
1683344498.467726,81.00000000000024
1683344498.496353,81.00000000000024
1683344498.541603,81.00000000000024
1683344498.5839648,0.0
1683344498.635293,324.00000000000097
1683344498.686752,0.0
1683344498.717398,107.99999999999962
1683344498.770553,0.0
1683344498.8047092,0.0
1683344498.852095,107.99999999999962
1683344498.893385,80.99999999999962
1683344498.930209,80.99999999999962
1683344498.98015,0.0
1683344499.021554,324.0
1683344499.065504,405.0
1683344503.511158,1799.999999999981
1683344503.5645518,71.99999999999923
1683344503.6127832,71.99999999999923
1683344503.6478689,71.99999999999923
1683344503.6799161,71.99999999999923
1683344503.7138119,71.99999999999972
1683344503.762555,71.99999999999972
1683344503.80044,71.99999999999972
1683344503.830339,71.99999999999972
1683344503.883086,0.0
1683344503.929652,0.0
1683344503.9559958,575.9999999999939
1683344503.996535,0.0
1683344504.0153432,287.99999999999886
1683344504.068238,0.0
1683344504.106039,72.0000000000002
1683344504.148951,72.0000000000002
1683344504.183462,71.99999999999972
1683344504.233763,0.0
1683344504.269185,71.99999999999923
1683344504.301365,0.0
1683344504.347252,71.99999999999923
1683344504.365055,287.99999999999693
1683344504.409141,71.99999999999923
1683344504.4559731,0.0
1683344504.486443,0.0
1683344504.5270321,0.0
1683344504.5706959,287.99999999999693
1683344504.5896242,287.9999999999974
1683344504.6395252,0.0
1683344504.672678,287.9999999999979
1683344504.7137952,71.99999999999996
1683344504.74332,287.99999999999983
1683344504.784245,71.99999999999996
1683344504.8220642,71.99999999999996
1683344504.851583,287.9999999999979
1683344504.8895402,287.9999999999979
1683344504.9269829,431.9999999999973
1683344504.9683352,0.0
1683344504.991092,728.9999999999955
1683344505.041829,0.0
1683344505.089557,0.0
1683344505.140096,0.0
1683344505.1835399,80.99999999999962
1683344505.210075,1475.999999999991
1683344505.247107,0.0
1683344505.280077,0.0
1683344505.306122,107.99999999999957
1683344505.349323,107.99999999999957
1683344505.369474,431.9999999999983
1683344505.392139,431.9999999999983
1683344505.4247491,107.99999999999933
1683344505.453373,107.99999999999933
1683344505.493417,107.99999999999933
1683344505.523375,107.99999999999933
1683344505.567307,107.99999999999933
1683344505.615583,107.99999999999972
1683344505.658155,107.99999999999923
1683344505.680467,431.99999999999693
1683344505.729606,0.0
1683344505.772216,431.99999999999886
1683344505.809173,431.99999999999886
1683344505.836805,431.99999999999886
1683344505.8643782,431.99999999999886
1683344505.894646,107.99999999999972
1683344505.917423,108.0000000000002
1683344505.951346,432.0000000000008
